Input|Output|PreGlobalOp|PreWorkOp|PostGlobalOp|PostGlobalVal|PostWorkOp|PostWorkVal
S 8 9 8 F _ _ _|_ _ _ _ _ < 5 >|NOP NOP NOP NOP NOP POP POP POP|NOP POP POP POP NOP NOP POP NOP|PSH NOP NOP NOP PSH PSH PSH NOP|SS _ _ _ RL RS RR _|NOP PSH PSH PSH NOP NOP NOP NOP|_ 8 7 5 _ _ _ _
S 4 9 0 F _ _ _|_ _ _ _ _ < 3 >|NOP NOP NOP NOP NOP POP POP POP|NOP POP POP POP NOP NOP POP NOP|PSH NOP NOP NOP PSH PSH PSH NOP|SS _ _ _ RL RS RR _|NOP PSH PSH PSH NOP NOP NOP NOP|_ 4 3 3 _ _ _ _
S 5 1 5 F _ _ _|_ _ _ _ _ < 1 >|NOP NOP NOP NOP NOP POP POP POP|NOP POP POP POP NOP NOP POP NOP|PSH NOP NOP NOP PSH PSH PSH NOP|SS _ _ _ RL RS RR _|NOP PSH PSH PSH NOP NOP NOP NOP|_ 5 6 1 _ _ _ _
S 3 0 3 F _ _ _|_ _ _ _ _ < 6 >|NOP NOP NOP NOP NOP POP POP POP|NOP POP POP POP NOP NOP POP NOP|PSH NOP NOP NOP PSH PSH PSH NOP|SS _ _ _ RL RS RR _|NOP PSH PSH PSH NOP NOP NOP NOP|_ 3 3 6 _ _ _ _
S 5 6 5 F _ _ _|_ _ _ _ _ < 6 >|NOP NOP NOP NOP NOP POP POP POP|NOP POP POP POP NOP NOP POP NOP|PSH NOP NOP NOP PSH PSH PSH NOP|SS _ _ _ RL RS RR _|NOP PSH PSH PSH NOP NOP NOP NOP|_ 5 1 6 _ _ _ _
S 8 5 3 F _ _ _|_ _ _ _ _ < 6 >|NOP NOP NOP NOP NOP POP POP POP|NOP POP POP POP NOP NOP POP NOP|PSH NOP NOP NOP PSH PSH PSH NOP|SS _ _ _ RL RS RR _|NOP PSH PSH PSH NOP NOP NOP NOP|_ 8 3 6 _ _ _ _
S 8 1 7 F _ _ _|_ _ _ _ _ < 6 >|NOP NOP NOP NOP NOP POP POP POP|NOP POP POP POP NOP NOP POP NOP|PSH NOP NOP NOP PSH PSH PSH NOP|SS _ _ _ RL RS RR _|NOP PSH PSH PSH NOP NOP NOP NOP|_ 8 9 6 _ _ _ _
S 4 2 0 F _ _ _|_ _ _ _ _ < 6 >|NOP NOP NOP NOP NOP POP POP POP|NOP POP POP POP NOP NOP POP NOP|PSH NOP NOP NOP PSH PSH PSH NOP|SS _ _ _ RL RS RR _|NOP PSH PSH PSH NOP NOP NOP NOP|_ 4 6 6 _ _ _ _
S 5 1 7 F _ _ _|_ _ _ _ _ < 3 >|NOP NOP NOP NOP NOP POP POP POP|NOP POP POP POP NOP NOP POP NOP|PSH NOP NOP NOP PSH PSH PSH NOP|SS _ _ _ RL RS RR _|NOP PSH PSH PSH NOP NOP NOP NOP|_ 5 6 3 _ _ _ _
S 2 8 5 F _ _ _|_ _ _ _ _ < 5 >|NOP NOP NOP NOP NOP POP POP POP|NOP POP POP POP NOP NOP POP NOP|PSH NOP NOP NOP PSH PSH PSH NOP|SS _ _ _ RL RS RR _|NOP PSH PSH PSH NOP NOP NOP NOP|_ 2 0 5 _ _ _ _
S 0 8 7 F _ _ _|_ _ _ _ _ < 5 >|NOP NOP NOP NOP NOP POP POP POP|NOP POP POP POP NOP NOP POP NOP|PSH NOP NOP NOP PSH PSH PSH NOP|SS _ _ _ RL RS RR _|NOP PSH PSH PSH NOP NOP NOP NOP|_ 0 8 5 _ _ _ _
S 7 0 4 F _ _ _|_ _ _ _ _ < 1 >|NOP NOP NOP NOP NOP POP POP POP|NOP POP POP POP NOP NOP POP NOP|PSH NOP NOP NOP PSH PSH PSH NOP|SS _ _ _ RL RS RR _|NOP PSH PSH PSH NOP NOP NOP NOP|_ 7 7 1 _ _ _ _
S 7 8 1 F _ _ _|_ _ _ _ _ < 6 >|NOP NOP NOP NOP NOP POP POP POP|NOP POP POP POP NOP NOP POP NOP|PSH NOP NOP NOP PSH PSH PSH NOP|SS _ _ _ RL RS RR _|NOP PSH PSH PSH NOP NOP NOP NOP|_ 7 5 6 _ _ _ _
S 2 6 1 F _ _ _|_ _ _ _ _ < 9 >|NOP NOP NOP NOP NOP POP POP POP|NOP POP POP POP NOP NOP POP NOP|PSH NOP NOP NOP PSH PSH PSH NOP|SS _ _ _ RL RS RR _|NOP PSH PSH PSH NOP NOP NOP NOP|_ 2 8 9 _ _ _ _
S 4 3 6 F _ _ _|_ _ _ _ _ < 3 >|NOP NOP NOP NOP NOP POP POP POP|NOP POP POP POP NOP NOP POP NOP|PSH NOP NOP NOP PSH PSH PSH NOP|SS _ _ _ RL RS RR _|NOP PSH PSH PSH NOP NOP NOP NOP|_ 4 7 3 _ _ _ _
S 1 3 8 F _ _ _|_ _ _ _ _ < 2 >|NOP NOP NOP NOP NOP POP POP POP|NOP POP POP POP NOP NOP POP NOP|PSH NOP NOP NOP PSH PSH PSH NOP|SS _ _ _ RL RS RR _|NOP PSH PSH PSH NOP NOP NOP NOP|_ 1 4 2 _ _ _ _
S 6 9 6 F _ _ _|_ _ _ _ _ < 1 >|NOP NOP NOP NOP NOP POP POP POP|NOP POP POP POP NOP NOP POP NOP|PSH NOP NOP NOP PSH PSH PSH NOP|SS _ _ _ RL RS RR _|NOP PSH PSH PSH NOP NOP NOP NOP|_ 6 5 1 _ _ _ _
S 1 8 7 F _ _ _|_ _ _ _ _ < 6 >|NOP NOP NOP NOP NOP POP POP POP|NOP POP POP POP NOP NOP POP NOP|PSH NOP NOP NOP PSH PSH PSH NOP|SS _ _ _ RL RS RR _|NOP PSH PSH PSH NOP NOP NOP NOP|_ 1 9 6 _ _ _ _
